9DI;IDA;01/08/2021 0:00
A01;IDA;01/08/2021 0:00
A02;IDA;01/08/2021 0:00
A06;LET;01/08/2021 0:00
A13;TAP;01/08/2021 0:00
BMG;GYM;01/08/2021 0:00
CRU;MFS;01/08/2021 0:00
CTG;GYM;01/08/2021 0:00
GYM;CTG;01/08/2021 0:00
GYM;VVC;01/08/2021 0:00
IDA;9DI;01/08/2021 0:00
IDA;A01;01/08/2021 0:00
IDA;GYM;01/08/2021 0:00
IDA;MVP;01/08/2021 0:00
IDA;ORC;01/08/2021 0:00
IDA;PCE;01/08/2021 0:00
IDA;VLA;01/08/2021 0:00
IDA;VVC;01/08/2021 0:00
LCH;A06;01/08/2021 0:00
LCH;VVC;01/08/2021 0:00
LET;LPD;01/08/2021 0:00
LET;PUR;01/08/2021 0:00
LMC;VVC;01/08/2021 0:00
LPD;LCH;01/08/2021 0:00
LPD;MVP;01/09/2021 0:00
LPD;VVC;02/09/2021 0:00
MFS;A06;03/09/2021 0:00
MFS;SJE;04/09/2021 0:00
MVP;A02;05/09/2021 0:00
MVP;IDA;06/09/2021 0:00
MVP;MFS;07/09/2021 0:00
MVP;VVC;08/09/2021 0:00
ORC;VVC;09/09/2021 0:00
PCE;VVC;10/09/2021 0:00
PCR;GYM;11/09/2021 0:00
PCR;VVC;12/09/2021 0:00
PIM;PCR;13/09/2021 0:00
PIM;VVC;14/09/2021 0:00
PUR;SJE;15/09/2021 0:00
PUR;TAP;16/09/2021 0:00
PUR;VVC;17/09/2021 0:00
SJE;A13;18/09/2021 0:00
SJE;CRU;19/09/2021 0:00
SJE;MFS;20/09/2021 0:00
SJE;VVC;21/09/2021 0:00
TAP;LET;22/09/2021 0:00
TAP;PUR;23/09/2021 0:00
TAR;MVP;24/09/2021 0:00
TPI;MFS;25/09/2021 0:00
VLA;VVC;26/09/2021 0:00
VVC;A13;27/09/2021 0:00
VVC;BGM;28/09/2021 0:00
VVC;GYM;29/09/2021 0:00
VVC;IDA;30/09/2021 0:00
VVC;LCH;01/10/2021 0:00
VVC;LMC;02/10/2021 0:00
VVC;LPD;03/10/2021 0:00
VVC;MFS;04/10/2021 0:00
VVC;MVP;05/10/2021 0:00
VVC;PCE;06/10/2021 0:00
VVC;PCR;07/10/2021 0:00
VVC;PIM;08/10/2021 0:00
VVC;PUR;09/10/2021 0:00
VVC;SJE;10/10/2021 0:00
VVC;TAR;11/10/2021 0:00
9BY;EYP;12/10/2021 0:00
A13;LPD;13/10/2021 0:00
ACR;LET;14/10/2021 0:00
AUC;EYP;15/10/2021 0:00
AUC;TME;16/10/2021 0:00
EYP;9BY;17/10/2021 0:00
EYP;AUC;18/10/2021 0:00
EYP;RAV;19/10/2021 0:00
EYP;VVC;20/10/2021 0:00
LCH;ACR;21/10/2021 0:00
LCH;LET;22/10/2021 0:00
LET;ACR;23/10/2021 0:00
LET;LCH;24/10/2021 0:00
LET;LPD;25/10/2021 0:00
LET;PCA;26/10/2021 0:00
LET;TAP;27/10/2021 0:00
LET;TAR;28/10/2021 0:00
LPD;ACR;29/10/2021 0:00
LPD;LET;30/10/2021 0:00
PCA;A13;31/10/2021 0:00
PCA;LET;01/11/2021 0:00
RAV;EYP;02/11/2021 0:00
TAP;LET;03/11/2021 0:00
TAR;LET;04/11/2021 0:00
TME;EYP;05/11/2021 0:00
VVC;EYP;06/11/2021 0:00
EYP;VVC;07/11/2021 0:00
MAP;VVC;08/11/2021 0:00
PCE;VVN;09/11/2021 0:00
PCR;VVC;10/11/2021 0:00
VVC;EYP;11/11/2021 0:00
VVC;MAP;12/11/2021 0:00
VVC;PCE;13/11/2021 0:00
VVC;PCR;14/11/2021 0:00
VVC;VVC;15/11/2021 0:00
VVN;VVC;16/11/2021 0:00
9DI;IDA;17/11/2021 0:00
9OX;PCE;18/11/2021 0:00
9OX;PCR;19/11/2021 0:00
9OX;VVC;20/11/2021 0:00
9PB;EYP;21/11/2021 0:00
9PB;HTZ;22/11/2021 0:00
A06;SJE;23/11/2021 0:00
A06;VVC;24/11/2021 0:00
BMG;IDA;25/11/2021 0:00
BMG;PCE;26/11/2021 0:00
BMG;VVC;27/11/2021 0:00
CAR;VVC;28/11/2021 0:00
EYP;VVC;29/11/2021 0:00
HTZ;VVC;30/11/2021 0:00
IDA;9DI;01/12/2021 0:00
IDA;BMG;02/12/2021 0:00
IDA;PCR;03/12/2021 0:00
IDA;VVC;04/12/2021 0:00
LMC;MAP;05/12/2021 0:00
LMC;VVC;06/12/2021 0:00
LPD;TAR;07/12/2021 0:00
LPD;VVC;08/12/2021 0:00
MAP;VVC;09/12/2021 0:00
PCE;9OX;10/12/2021 0:00
PCE;BMG;11/12/2021 0:00
PCE;PCR;12/12/2021 0:00
PCE;PIM;13/12/2021 0:00
PCE;VVC;14/12/2021 0:00
PCR;9OX;15/12/2021 0:00
PCR;IDA;16/12/2021 0:00
PCR;PCE;17/12/2021 0:00
PIM;PCE;18/12/2021 0:00
PIM;VVC;19/12/2021 0:00
PTC;VVC;20/12/2021 0:00
SJE;A06;21/12/2021 0:00
SJE;TAR;22/12/2021 0:00
SJE;VVC;23/12/2021 0:00
SRO;PIM;24/12/2021 0:00
SRO;VVC;25/12/2021 0:00
TAR;LPD;26/12/2021 0:00
TAR;SJE;27/12/2021 0:00
TAR;VVC;28/12/2021 0:00
VVC;9DI;29/12/2021 0:00
